Column,gi,N_Accesion,Title,Gene,Serotype,Genotype,Size_sequence,Country,Localization,Year,Month,Comments
102,992324551,KT726345,"Dengue virus 3 isolate Cuba_11_2002, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2002,NA,III|Cuba|serum|2002
103,992324549,KT726344,"Dengue virus 3 isolate Cuba_580_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|spleen|2001
104,992324547,KT726343,"Dengue virus 3 isolate Cuba_557_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
105,992324545,KT726342,"Dengue virus 3 isolate Cuba_553_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
106,992324543,KT726341,"Dengue virus 3 isolate Cuba_167_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
107,992324541,KT726340,"Dengue virus 3 isolate Cuba_118_2001, complete genome",Complete Genome,Dengue virus 3,III,10663,Cuba,NA,2001,NA,III|Cuba|serum|2001
378,1021221294,KU094071,"Dengue virus 1 isolate DENV1_China_SZ_2015 polyprotein gene, complete cds",Complete Genome,Dengue virus 1,NA,10736,China,NA,2015,NA,China|2015
379,1021221292,KU094070,"Dengue virus 2 isolate DENV2_China_SZ_2015 polyprotein gene, complete cds",Complete Genome,Dengue virus 2,NA,10723,China,NA,2015,NA,China|2015
813,767809895,KP140942,"Dengue virus 4 strain MRS 6169642904/2014 polyprotein gene, complete cds",Complete Genome,Dengue virus 4,NA,10565,Haiti,NA,2014,Sep,Haiti|serum|11-Sep-2014|passaged in vero cells
845,1011714747,KT831765,"Dengue virus 1 isolate BO15/14, partial genome",Complete Genome,Dengue virus 1,NA,10674,Indonesia,Bogor,2014,Sep,"Indonesia: Bogor, West Java|Sep-2014"
974,1004605553,KT794007,"Dengue virus 4 isolate BR005AM_2011, complete genome",Complete Genome,Dengue virus 4,II,10649,Brazil,Manaus,2011,Mar,"II|Brazil: Manaus, Amazonas State|plasma|07-Mar-2011|Valdinete Nascimento"
975,759083580,KJ755855,"Dengue virus 1 isolate NIV_K130706770_India, complete genome",Complete Genome,Dengue virus 1,NA,10727,India,NA,2013,Jul,India|serum|Jul-2013
1017,961377531,KU050695,"Dengue virus 3, complete genome",Complete Genome,Dengue virus 3,NA,10696,Philippines,NA,1956,NA,Philippines|1956
1018,947301730,KR011349,"Dengue virus 4 strain H241 polyprotein gene, complete cds",Complete Genome,Dengue virus 4,NA,10664,Philippines,NA,1956,Aug,Philippines|28-Aug-1956
1019,829641920,KM403636,"Dengue virus 1 isolate SGEHI(D1)03120Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1020,829641894,KM403635,"Dengue virus 1 isolate SGEHI(D1)40115Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1021,829641892,KM403634,"Dengue virus 1 isolate SGEHI(D1)22176Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1022,829641890,KM403633,"Dengue virus 1 isolate SGEHI(D1)09125Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1023,829641888,KM403632,"Dengue virus 1 isolate SGEHI(D1)51687Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1024,829641886,KM403631,"Dengue virus 1 isolate SGEHI(D1)50722Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1025,829641884,KM403630,"Dengue virus 1 isolate SGEHI(D1)22272Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1026,829641882,KM403629,"Dengue virus 1 isolate SGEHI(D1)12044Y13, complete genome",Complete Genome,Dengue virus 1,III,10637,Singapore,NA,2013,NA,III|Singapore|serum|2013
1027,829641880,KM403628,"Dengue virus 1 isolate SGEHI(D1)10498Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1028,829641878,KM403627,"Dengue virus 1 isolate SGEHI(D1)03513Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1029,829641876,KM403626,"Dengue virus 1 isolate SGEHI(D1)50837Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1030,829641874,KM403625,"Dengue virus 1 isolate SGEHI(D1)50688Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1031,829641872,KM403624,"Dengue virus 1 isolate SGEHI(D1)46841Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1032,829641870,KM403623,"Dengue virus 1 isolate SGEHI(D1)43144Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1033,829641868,KM403622,"Dengue virus 1 isolate SGEHI(D1)41379Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1034,829641866,KM403621,"Dengue virus 1 isolate SGEHI(D1)40160Y13, complete genome",Complete Genome,Dengue virus 1,III,10662,Singapore,NA,2013,NA,III|Singapore|serum|2013
1035,829641864,KM403620,"Dengue virus 1 isolate SGEHI(D1)35663Y13, complete genome",Complete Genome,Dengue virus 1,III,10698,Singapore,NA,2013,NA,III|Singapore|serum|2013
1036,829641862,KM403619,"Dengue virus 1 isolate SGEHI(D1)23018Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1037,829641860,KM403618,"Dengue virus 1 isolate SGEHI(D1)10689Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1038,829641858,KM403617,"Dengue virus 1 isolate SGEHI(D1)38030Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1039,829641856,KM403616,"Dengue virus 1 isolate SGEHI(D1)28740Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1040,829641854,KM403615,"Dengue virus 1 isolate SGEHI(D1)36303Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1041,829641852,KM403614,"Dengue virus 1 isolate SGEHI(D1)23537Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1042,829641850,KM403613,"Dengue virus 1 isolate SGEHI(D1)48695Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1043,829641848,KM403612,"Dengue virus 1 isolate SGEHI(D1)22740Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1044,829641846,KM403611,"Dengue virus 1 isolate SGEHI(D1)21860Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1045,829641844,KM403610,"Dengue virus 1 isolate SGEHI(D1)21672Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1046,829641842,KM403609,"Dengue virus 1 isolate SGEHI(D1)21469Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1047,829641840,KM403608,"Dengue virus 1 isolate SGEHI(D1)19725Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1048,829641838,KM403607,"Dengue virus 1 isolate SGEHI(D1)18736Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1049,829641836,KM403606,"Dengue virus 1 isolate SGEHI(D1)16267Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1050,829641834,KM403605,"Dengue virus 1 isolate SGEHI(D1)16120Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1051,829641832,KM403604,"Dengue virus 1 isolate SGEHI(D1)15073Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1052,829641830,KM403603,"Dengue virus 1 isolate SGEHI(D1)13943Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1053,829641828,KM403602,"Dengue virus 1 isolate SGEHI(D1)45748Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1054,829641826,KM403601,"Dengue virus 1 isolate SGEHI(D1)26957Y13, complete genome",Complete Genome,Dengue virus 1,III,10648,Singapore,NA,2013,NA,III|Singapore|serum|2013
1055,829641824,KM403600,"Dengue virus 1 isolate SGEHI(D1)22054Y13, complete genome",Complete Genome,Dengue virus 1,III,10699,Singapore,NA,2013,NA,III|Singapore|serum|2013
1056,829641822,KM403599,"Dengue virus 1 isolate SGEHI(D1)15005Y13, complete genome",Complete Genome,Dengue virus 1,III,10670,Singapore,NA,2013,NA,III|Singapore|serum|2013
1057,829641820,KM403598,"Dengue virus 1 isolate SGEHI(D1)25135Y13, complete genome",Complete Genome,Dengue virus 1,III,10646,Singapore,NA,2013,NA,III|Singapore|serum|2013
1058,829641818,KM403597,"Dengue virus 1 isolate SGEHI(D1)21152Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1059,829641816,KM403596,"Dengue virus 1 isolate SGEHI(D1)23469Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1060,829641814,KM403595,"Dengue virus 1 isolate SGEHI(D1)14592Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1061,829641812,KM403594,"Dengue virus 1 isolate SGEHI(D1)41081Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1062,829641810,KM403593,"Dengue virus 1 isolate SGEHI(D1)12543Y13, complete genome",Complete Genome,Dengue virus 1,III,10713,Singapore,NA,2013,NA,III|Singapore|serum|2013
1063,829641808,KM403592,"Dengue virus 1 isolate SGEHI(D1)10152Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1064,829641806,KM403591,"Dengue virus 1 isolate SGEHI(D1)17497Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1065,829641804,KM403590,"Dengue virus 1 isolate SGEHI(D1)26591Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1066,829641802,KM403589,"Dengue virus 1 isolate SGEHI(D1)44881Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1067,829641800,KM403588,"Dengue virus 1 isolate SGEHI(D1)15822Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1068,829641798,KM403587,"Dengue virus 1 isolate SGEHI(D1)09119Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1069,829641796,KM403586,"Dengue virus 1 isolate SGEHI(D1)45409Y13, complete genome",Complete Genome,Dengue virus 1,III,10649,Singapore,NA,2013,NA,III|Singapore|serum|2013
1070,829641794,KM403585,"Dengue virus 1 isolate SGEHI(D1)14150Y13, complete genome",Complete Genome,Dengue virus 1,III,10669,Singapore,NA,2013,NA,III|Singapore|serum|2013
1071,829641792,KM403584,"Dengue virus 1 isolate SGEHI(D1)05722Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1072,829641790,KM403583,"Dengue virus 1 isolate SGEHI(D1)52819Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1073,829641788,KM403582,"Dengue virus 1 isolate SGEHI(D1)46142Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1074,829641786,KM403581,"Dengue virus 1 isolate SGEHI(D1)19711Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1075,829641784,KM403580,"Dengue virus 1 isolate SGEHI(D1)07074Y13, complete genome",Complete Genome,Dengue virus 1,III,10627,Singapore,NA,2013,NA,III|Singapore|serum|2013
1076,829641782,KM403579,"Dengue virus 1 isolate SGEHI(D1)52901Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1077,829641780,KM403578,"Dengue virus 1 isolate SGEHI(D1)05022Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1078,829641778,KM403577,"Dengue virus 1 isolate SGEHI(D1)47999Y13, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2013,NA,III|Singapore|serum|2013
1079,829641776,KM403576,"Dengue virus 1 isolate SGEHI(D1)40519Y13, complete genome",Complete Genome,Dengue virus 1,III,10665,Singapore,NA,2013,NA,III|Singapore|serum|2013
1080,829641774,KM403575,"Dengue virus 1 isolate SGEHI(D1)44259Y12, complete genome",Complete Genome,Dengue virus 1,III,10714,Singapore,NA,2012,NA,III|Singapore|serum|2012
1081,699980882,KM204119,"Dengue virus 1 strain Hawaii, complete genome",Complete Genome,Dengue virus 1,NA,10736,NA,Hawaii,1944,NA,USA: Hawaii|1944
1082,699980880,KM204118,"Dengue virus 2 strain New Guinea C, complete genome",Complete Genome,Dengue virus 2,NA,10723,Papua New Guinea,NA,1944,NA,Papua New Guinea|1944
1083,164654846,EU359008,"Dengue virus 1 isolate ZH1067, complete genome",Complete Genome,Dengue virus 1,NA,10735,China,NA,NA,NA,China
1084,1000373339,KU216209,"Dengue virus 3 isolate Rajasthan.India/Balotra 87-s/2013, complete genome",Complete Genome,Dengue virus 3,NA,10674,India,NA,2013,Nov,India|patient's serum|11-Nov-2013
1085,1000373337,KU216208,"Dengue virus 3 isolate Rajasthan.India/DMRC/Balotra87/2013, complete genome",Complete Genome,Dengue virus 3,NA,10672,India,NA,2013,Nov,India|11-Nov-2013
1108,1001622301,LC128301,"Dengue virus 1 genomic RNA, complete sequence, strain: D1/Hu/Philippines/NIID13/2016",Complete Genome,Dengue virus 1,NA,10693,Philippines,NA,2016,NA,Philippines|serum of patient|2016-01
1136,996130055,KR024708,"Dengue virus 1 isolate Wenzhou-Human-1, complete genome",Complete Genome,Dengue virus 1,NA,10703,China,NA,2014,NA,China|2014
1137,996130053,KR024707,"Dengue virus 1 isolate Wuhan-Human-3, complete genome",Complete Genome,Dengue virus 1,NA,10703,China,NA,2014,NA,China|2014
1138,996130051,KR024706,"Dengue virus 1 isolate Wuhan-Human-2, complete genome",Complete Genome,Dengue virus 1,NA,10703,China,NA,2014,NA,China|2014
1139,996130049,KR024705,"Dengue virus 1 isolate Wuhan-Human-1, complete genome",Complete Genome,Dengue virus 1,NA,10703,China,NA,2014,NA,China|2014
1163,12084822,NC_002640,"Dengue virus 4, complete genome",Complete Genome,Dengue virus 4,NA,10649,NA,NA,NA,NA,rDEN4
1165,985480708,LC069810,"Dengue virus 4 genomic RNA, complete genome, strain: D4/Hu/India/NIID48/2009",Complete Genome,Dengue virus 4,NA,10623,Japan,NA,2015,NA,Japan|2015
1177,984658909,LC121816,"Dengue virus 2 genomic RNA, complete sequence, strain: D2/Hu/NIID01/2016",Complete Genome,Dengue virus 2,NA,10685,Yibuti,NA,2016,NA,serum of patient|2016-01|Suspected country: Djibouti or Ethiopia.
1214,974700736,LC111438,"Dengue virus 2 genomic RNA, nearly complete genome, strain: D2/Hu/OPD030NIID/2005",Complete Genome,Dengue virus 2,NA,10678,Timor,NA,NA,NA,East Timor
1422,937349153,KP406806,"Dengue virus 4 isolate DENV-4/KBPV-VR-31, complete genome",Complete Genome,Dengue virus 4,NA,10664,South Korea,NA,NA,NA,VeroE6|South Korea
1423,937349151,KP406805,"Dengue virus 3 isolate DENV-3/KBPV-VR-30, complete genome",Complete Genome,Dengue virus 3,NA,10696,South Korea,NA,NA,NA,VeroE6|South Korea
1424,937349149,KP406804,"Dengue virus 2 isolate DENV-2/KBPV-VR-29, complete genome",Complete Genome,Dengue virus 2,NA,10712,South Korea,NA,NA,NA,VeroE6|South Korea
1425,937349147,KP406803,"Dengue virus 1 isolate DenKor-07, complete genome",Complete Genome,Dengue virus 1,NA,10734,South Korea,NA,2006,NA,South Korea|Korean traveler who recently visited Philippines|2006
1426,937349145,KP406802,"Dengue virus 1 isolate DenKor-02, complete genome",Complete Genome,Dengue virus 1,NA,10735,South Korea,NA,2005,NA,South Korea|Korean traveler who recently visited Indonesia|2005
1427,937349143,KP406801,"Dengue virus 1 isolate DenKor-01, complete genome",Complete Genome,Dengue virus 1,NA,10736,South Korea,NA,2004,NA,South Korea|Korean traveler who recently visited India and Singapore|2004
1519,953835018,KT187564,"Dengue virus 1 isolate DENV1/CN/GZDF716/2014, complete genome",Complete Genome,Dengue virus 1,NA,10735,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1520,953835016,KT187563,"Dengue virus 1 isolate DENV1/CN/GZDF696/2014, complete genome",Complete Genome,Dengue virus 1,NA,10714,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1521,953835014,KT187562,"Dengue virus 1 isolate DENV1/CN/GZDF982/2014, complete genome",Complete Genome,Dengue virus 1,NA,10714,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1522,953835012,KT187561,"Dengue virus 1 isolate DENV1/CN/GZDF876/2014, complete genome",Complete Genome,Dengue virus 1,NA,10714,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1523,953835010,KT187560,"Dengue virus 1 isolate DENV1/CN/GZDF874/2014, complete genome",Complete Genome,Dengue virus 1,NA,10714,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1524,953835008,KT187559,"Dengue virus 1 isolate DENV1/CN/GZDF780/2014, complete genome",Complete Genome,Dengue virus 1,NA,10714,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1525,953835006,KT187558,"Dengue virus 2 isolate DENV2/CN/GZ1118/2014, complete genome",Complete Genome,Dengue virus 2,NA,10723,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1526,953835004,KT187557,"Dengue virus 2 isolate DENV2/CN/GZDF615/2014, complete genome",Complete Genome,Dengue virus 2,NA,10723,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1527,953835002,KT187556,"Dengue virus 2 isolate DENV2/CN/GZDF595/2014, complete genome",Complete Genome,Dengue virus 2,NA,10723,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1528,953835000,KT187555,"Dengue virus 2 isolate DENV2/CN/GZDF574/2014, complete genome",Complete Genome,Dengue virus 2,NA,10723,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1529,953834998,KT187554,"Dengue virus 2 isolate DENV2/CN/GZDF571/2014, complete genome",Complete Genome,Dengue virus 2,NA,10723,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1530,953834996,KT187553,"Dengue virus 2 isolate DENV2/CN/GZDF31241/2014, complete genome",Complete Genome,Dengue virus 2,NA,10723,China,Guangdong,2014,NA,China: Guangdong|serum|2014
1646,910266341,KR920365,"Dengue virus 2 strain ZS01/01, complete genome",Complete Genome,Dengue virus 2,NA,10723,NA,NA,NA,NA,
1647,943876558,KR922405,"Dengue virus 4 isolate 11/1666 polyprotein gene, complete cds",Complete Genome,Dengue virus 4,NA,10164,Thailand,NA,2011,NA,Thailand|serum|2011
1712,699049644,KM217158,"Dengue virus 2 isolate D2/Pk/Swat-01, complete genome",Complete Genome,Dengue virus 2,NA,10656,Pakistan,NA,2013,Aug,Pakistan|serum|Aug-2013
1713,699049642,KM217157,"Dengue virus 2 isolate D2/Pk/A1/2011, complete genome",Complete Genome,Dengue virus 2,NA,10656,Pakistan,NA,2011,Aug,Pakistan|serum|Aug-2011
1714,699049640,KM217156,"Dengue virus 2 isolate D2/Pk/A2/2011, complete genome",Complete Genome,Dengue virus 2,NA,10656,Pakistan,NA,2011,Aug,Pakistan|serum|Aug-2011
1740,939107976,KT279761,"Dengue virus 1 strain Haiti/1207/2014, complete genome",Complete Genome,Dengue virus 1,NA,10720,Haiti,NA,2014,Nov,Haiti|27-Nov-2014
1741,939107974,KT276273,"Dengue virus 4 strain Haiti/0324/2014, complete genome",Complete Genome,Dengue virus 4,NA,10649,Haiti,NA,2014,Sep,Haiti|plasma|08-Sep-2014
1752,937959130,KR296744,"Dengue virus 3 strain YNSW2, complete genome",Complete Genome,Dengue virus 3,NA,10702,China,NA,2013,NA,China|2013
1753,937959128,KR296743,"Dengue virus 3 strain YNSW1, complete genome",Complete Genome,Dengue virus 3,NA,10710,China,NA,2013,NA,China|2013
1899,595077843,KJ010186,"Dengue virus 2 isolate DENV-2/PK/2013, complete genome",Complete Genome,Dengue virus 2,NA,10629,Pakistan,NA,2013,Oct,Pakistan|02-Oct-2013
1900,595077841,KJ010185,"Dengue virus 2 isolate DENV-2/PK/2011, complete genome",Complete Genome,Dengue virus 2,NA,10629,Pakistan,NA,2011,Oct,Pakistan|20-Oct-2011
1901,558611823,KF360005,"Dengue virus 2 isolate DENV-2/PK, complete genome",Complete Genome,Dengue virus 2,IV,10629,Pakistan,NA,2010,Nov,4|Pakistan|human serum|01-Nov-2010
1942,688442057,KJ596658,"Dengue virus 4 strain DENV-4/MT/BR33_TVP17919/2012 isolate serum_33, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Apr,"Brazil: Cuiaba, MT|female|14.4039 S 55.9033 W|20-Apr-2012|176.8 m."
1943,688442055,KJ596659,"Dengue virus 4 strain DENV-4/MT/BR35_TVP17921/2012 isolate serum_35, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Varzea Grande,2012,Mar,"Brazil: Varzea Grande, MT|male|14.3533 S 55.8675 W|30-Mar-2012|196.6 m."
1944,688442053,KJ596660,"Dengue virus 4 strain DENV-4/MT/BR40_TVP17926/2012 isolate serum_40, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Apr,"Brazil: Cuiaba, MT|female|14.4039 S 55.9033 W|03-Apr-2012|176.8 m."
1945,688442050,KJ596661,"Dengue virus 4 strain DENV-4/MT/BR44_TVP17930/2012 isolate serum_44, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Apr,"Brazil: Cuiaba, MT|female|14.4039 S 55.9033 W|05-Apr-2012|176.8 m."
1946,688442047,KJ596662,"Dengue virus 4 strain DENV-4/MT/BR47_TVP17933/2012 isolate serum_47, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Mar,"Brazil: Cuiaba, MT|male|14.4039 S 55.9033 W|23-Mar-2012|176.8 m."
1947,688442044,KJ596663,"Dengue virus 4 strain DENV-4/MT/BR48_TVP17934/2012 isolate serum_48, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Mar,"Brazil: Cuiaba, MT|male|14.4039 S 55.9033 W|21-Mar-2012|176.8 m."
1948,688442039,KJ596664,"Dengue virus 4 strain DENV-4/MT/BR50_TVP18148/2012 isolate serum_50, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Mar,"Brazil: Cuiaba, MT|female|14.4039 S 55.9033 W|12-Mar-2012|176.8 m."
1949,688442037,KJ596665,"Dengue virus 4 strain DENV-4/MT/BR52_TVP17938/2012 isolate serum_52, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Mar,"Brazil: Cuiaba, MT|female|14.4039 S 55.9033 W|20-Mar-2012|176.8 m."
1950,688442033,KJ596666,"Dengue virus 4 strain DENV-4/MT/BR53_TVP17939/2012 isolate serum_53, complete genome",Complete Genome,Dengue virus 4,NA,10649,Brazil,Cuiaba,2012,Mar,"Brazil: Cuiaba, MT|male|14.4039 S 55.9033 W|14-Mar-2012|176.8 m."
